ID,Incident Date,Incident Date Text,State,City Or County,Address,,Killed,,,Injured,,longitude,latitude,victim,radius,popup
197,6/12/2016,12-Jun,Florida,Orlando,1912 S Orange Avenue,Number killed:,50,Number killed: 50,Number injured:,53,Number injured: 53,-81.37637,28.520073,103,28.63675426,"06-12, 1912 S Orange Avenue, Orlando, Florida, Number killed: 50, Number injured: 53"
127,7/25/2016,25-Jul,Florida,Fort Myers,3580 Evans Ave,Number killed:,2,Number killed: 2,Number injured:,19,Number injured: 19,-81.8599,26.612001,21,12.93048538,"07-25, 3580 Evans Ave, Fort Myers, Florida, Number killed: 2, Number injured: 19"
300,2/25/2016,25-Feb,Kansas,Hesston,200 S Ridge Rd,Number killed:,4,Number killed: 4,Number injured:,14,Number injured: 14,-97.425524,38.13635,18,11.97130327,"02-25, 200 S Ridge Rd, Hesston, Kansas, Number killed: 4, Number injured: 14"
32,10/15/2016,15-Oct,California,Los Angeles,2918 Rimpau Boulevard,Number killed:,4,Number killed: 4,Number injured:,11,Number injured: 11,-118.35102,34.027466,15,10.92825474,"10-15, 2918 Rimpau Boulevard, Los Angeles, California, Number killed: 4, Number injured: 11"
143,7/16/2016,16-Jul,California,Bakersfield,621 Stephens Drive,Number killed:,1,Number killed: 1,Number injured:,14,Number injured: 14,-119.035614,35.348835,15,10.92825474,"07-16, 621 Stephens Drive, Bakersfield, California, Number killed: 1, Number injured: 14"
156,7/7/2016,7-Jul,Texas,Dallas,800 Main Street,Number killed:,5,Number killed: 5,Number injured:,9,Number injured: 9,-96.80511,32.77938,14,10.5576971,"07-07, 800 Main Street, Dallas, Texas, Number killed: 5, Number injured: 9"
87,8/21/2016,21-Aug,Connecticut,Bridgeport,19 Plymouth St,Number killed:,0,Number killed: 0,Number injured:,13,Number injured: 13,-73.17568,41.198208,13,10.17365149,"08-21, 19 Plymouth St, Bridgeport, Connecticut, Number killed: 0, Number injured: 13"
316,2/7/2016,7-Feb,Florida,Orlando,7432 Universal Blvd,Number killed:,2,Number killed: 2,Number injured:,10,Number injured: 10,-81.46476,28.453115,12,9.774528187,"02-07, 7432 Universal Blvd, Orlando, Florida, Number killed: 2, Number injured: 10"
73,9/4/2016,4-Sep,Virginia,Roanoke,1020 Orange Ave NE,Number killed:,1,Number killed: 1,Number injured:,10,Number injured: 10,-79.92315,37.28334,11,9.358398252,"09-04, 1020 Orange Ave NE, Roanoke, Virginia, Number killed: 1, Number injured: 10"
36,10/9/2016,9-Oct,Michigan,Grand Rapids,1850 28th Street SE,Number killed:,1,Number killed: 1,Number injured:,8,Number injured: 8,-85.62101,42.91263,9,8.46498972,"10-09, 1850 28th Street SE, Grand Rapids, Michigan, Number killed: 1, Number injured: 8"
57,9/17/2016,17-Sep,District of Columbia,Washington,2600 block of Birney Place SE,Number killed:,2,Number killed: 2,Number injured:,7,Number injured: 7,-76.99665,38.858242,9,8.46498972,"09-17, 2600 block of Birney Place SE, Washington, District of Columbia, Number killed: 2, Number injured: 7"
293,3/6/2016,6-Mar,California,Compton,900 block of West Victoria Street,Number killed:,1,Number killed: 1,Number injured:,8,Number injured: 8,-118.23907,33.867813,9,8.46498972,"03-06, 900 block of West Victoria Street, Compton, California, Number killed: 1, Number injured: 8"
6,11/5/2016,5-Nov,California,Oakland,420 14th Street,Number killed:,0,Number killed: 0,Number injured:,8,Number injured: 8,-122.27052,37.80409,8,7.980868845,"11-05, 420 14th Street, Oakland, California, Number killed: 0, Number injured: 8"
49,9/24/2016,24-Sep,Maryland,Baltimore,Greenmount Avenue and Preston Street,Number killed:,0,Number killed: 0,Number injured:,8,Number injured: 8,-76.6082,39.30484,8,7.980868845,"09-24, Greenmount Avenue and Preston Street, Baltimore, Maryland, Number killed: 0, Number injured: 8"
128,7/24/2016,24-Jul,Ohio,Hamilton,1555 Main St,Number killed:,1,Number killed: 1,Number injured:,7,Number injured: 7,-84.58977,39.42027,8,7.980868845,"07-24, 1555 Main St, Hamilton, Ohio, Number killed: 1, Number injured: 7"
164,7/4/2016,4-Jul,Arizona,Phoenix,4000 block of West Southern Avenue,Number killed:,2,Number killed: 2,Number injured:,6,Number injured: 6,-112.14606,33.392082,8,7.980868845,"07-04, 4000 block of West Southern Avenue, Phoenix, Arizona, Number killed: 2, Number injured: 6"
217,5/29/2016,29-May,Texas,Houston,13210 Memorial Drive,Number killed:,2,Number killed: 2,Number injured:,6,Number injured: 6,-95.57451,29.772621,8,7.980868845,"05-29, 13210 Memorial Drive, Houston, Texas, Number killed: 2, Number injured: 6"
237,5/5/2016,5-May,Louisiana,Shreveport,300 block of North Thomas Drive,Number killed:,2,Number killed: 2,Number injured:,6,Number injured: 6,-93.76336,32.54004,8,7.980868845,"05-05, 300 block of North Thomas Drive, Shreveport, Louisiana, Number killed: 2, Number injured: 6"
239,5/4/2016,4-May,Minnesota,Minneapolis,16th Avenue North and Newton Avenue North,Number killed:,1,Number killed: 1,Number injured:,7,Number injured: 7,-93.30571,44.99544,8,7.980868845,"05-04, 16th Avenue North and Newton Avenue North, Minneapolis, Minnesota, Number killed: 1, Number injured: 7"
255,4/22/2016,22-Apr,Ohio,Piketon,4077 Union Hill Road,Number killed:,8,Number killed: 8,Number injured:,0,Number injured: 0,-83.239746,39.009964,8,7.980868845,"04-22, 4077 Union Hill Road, Piketon, Ohio, Number killed: 8, Number injured: 0"
287,3/9/2016,9-Mar,Pennsylvania,Pittsburgh (Wilkinsburg),1304 Franklin Avenue,Number killed:,5,Number killed: 5,Number injured:,3,Number injured: 3,-79.872925,40.43836,8,7.980868845,"03-09, 1304 Franklin Avenue, Pittsburgh (Wilkinsburg), Pennsylvania, Number killed: 5, Number injured: 3"
309,2/20/2016,20-Feb,Michigan,Kalamazoo,5581 Cracker Barrel Blvd,Number killed:,6,Number killed: 6,Number injured:,2,Number injured: 2,-85.67695,42.23547,8,7.980868845,"02-20, 5581 Cracker Barrel Blvd, Kalamazoo, Michigan, Number killed: 6, Number injured: 2"
317,2/7/2016,7-Feb,New York,Rochester,547 State street,Number killed:,1,Number killed: 1,Number injured:,7,Number injured: 7,-77.62218,43.163677,8,7.980868845,"02-07, 547 State street, Rochester, New York, Number killed: 1, Number injured: 7"
321,2/6/2016,6-Feb,Florida,Tampa,8123 N Nebraska Ave,Number killed:,2,Number killed: 2,Number injured:,6,Number injured: 6,-82.45126,28.021578,8,7.980868845,"02-06, 8123 N Nebraska Ave, Tampa, Florida, Number killed: 2, Number injured: 6"
324,1/30/2016,30-Jan,Arizona,Glendale,67th and Missouri Avenue,Number killed:,3,Number killed: 3,Number injured:,5,Number injured: 5,-112.181991,33.517004,8,7.980868845,"01-30, 67th and Missouri Avenue, Glendale, Arizona, Number killed: 3, Number injured: 5"
18,10/30/2016,30-Oct,New York,Newburgh,119 Broadway,Number killed:,2,Number killed: 2,Number injured:,5,Number injured: 5,-74.01193,41.50006,7,7.465419216,"10-30, 119 Broadway, Newburgh, New York, Number killed: 2, Number injured: 5"
28,10/22/2016,22-Oct,California,Oakland,77th and Bancroft Avenues,Number killed:,0,Number killed: 0,Number injured:,7,Number injured: 7,-122.174469,37.76429,7,7.465419216,"10-22, 77th and Bancroft Avenues, Oakland, California, Number killed: 0, Number injured: 7"
34,10/14/2016,14-Oct,Illinois,Chicago,3300 block of Maypole,Number killed:,1,Number killed: 1,Number injured:,6,Number injured: 6,-87.708517,41.884038,7,7.465419216,"10-14, 3300 block of Maypole, Chicago, Illinois, Number killed: 1, Number injured: 6"
46,9/26/2016,26-Sep,Texas,Houston,5450 Weslayan St,Number killed:,1,Number killed: 1,Number injured:,6,Number injured: 6,-95.44132,29.72362,7,7.465419216,"09-26, 5450 Weslayan St, Houston, Texas, Number killed: 1, Number injured: 6"
56,9/17/2016,17-Sep,Florida,Orlando,3918 Columbia Street,Number killed:,1,Number killed: 1,Number injured:,6,Number injured: 6,-81.42425,28.526989,7,7.465419216,"09-17, 3918 Columbia Street, Orlando, Florida, Number killed: 1, Number injured: 6"
59,9/16/2016,16-Sep,Pennsylvania,Philadelphia,5100 block of Sansom Street,Number killed:,2,Number killed: 2,Number injured:,5,Number injured: 5,-75.22353,39.957485,7,7.465419216,"09-16, 5100 block of Sansom Street, Philadelphia, Pennsylvania, Number killed: 2, Number injured: 5"
85,8/27/2016,27-Aug,Alabama,Bessemer (Brighton),3810 7th Ave,Number killed:,1,Number killed: 1,Number injured:,6,Number injured: 6,-86.95097,33.441498,7,7.465419216,"08-27, 3810 7th Ave, Bessemer (Brighton), Alabama, Number killed: 1, Number injured: 6"
106,8/8/2016,8-Aug,Florida,Jacksonville,1214 Labelle St,Number killed:,0,Number killed: 0,Number injured:,7,Number injured: 7,-81.731964,30.301483,7,7.465419216,"08-08, 1214 Labelle St, Jacksonville, Florida, Number killed: 0, Number injured: 7"
