Id,Code,State,Race,Deaths,Population,CrudeRate
1,AL,Alabama,Am Indian/AK Native,24,501106,4.79
2,AK,Alaska,Am Indian/AK Native,576,1850447,31.13
3,AZ,Arizona,Am Indian/AK Native,622,5269874,11.8
4,AR,Arkansas,Am Indian/AK Native,15,409409,3.66
5,CA,California,Am Indian/AK Native,361,9994351,3.61
6,CO,Colorado,Am Indian/AK Native,94,1254491,7.49
10,FL,Florida,Am Indian/AK Native,36,1419640,2.54
11,GA,Georgia,Am Indian/AK Native,41,683474,6
13,ID,Idaho,Am Indian/AK Native,52,419962,12.38
14,IL,Illinois,Am Indian/AK Native,16,1094674,1.46
15,IN,Indiana,Am Indian/AK Native,10,402583,2.48
17,KS,Kansas,Am Indian/AK Native,43,584919,7.35
19,LA,Louisiana,Am Indian/AK Native,22,527974,4.17
20,ME,Maine,Am Indian/AK Native,14,153688,9.11
21,MD,Maryland,Am Indian/AK Native,21,477990,4.39
23,MI,Michigan,Am Indian/AK Native,94,1296003,7.25
24,MN,Minnesota,Am Indian/AK Native,125,1158327,10.79
25,MS,Mississippi,Am Indian/AK Native,19,249067,7.63
26,MO,Missouri,Am Indian/AK Native,29,577323,5.02
27,MT,Montana,Am Indian/AK Native,164,1055437,15.54
28,NE,Nebraska,Am Indian/AK Native,28,360672,7.76
29,NV,Nevada,Am Indian/AK Native,74,693220,10.67
31,NJ,New Jersey,Am Indian/AK Native,10,742617,1.35
32,NM,New Mexico,Am Indian/AK Native,311,3320035,9.37
33,NY,New York,Am Indian/AK Native,35,2830198,1.24
34,NC,North Carolina,Am Indian/AK Native,337,2198460,15.33
35,ND,North Dakota,Am Indian/AK Native,56,591879,9.46
36,OH,Ohio,Am Indian/AK Native,15,581096,2.58
37,OK,Oklahoma,Am Indian/AK Native,605,5731226,10.56
38,OR,Oregon,Am Indian/AK Native,90,1148581,7.84
39,PA,Pennsylvania,Am Indian/AK Native,10,611168,1.64
41,SC,South Carolina,Am Indian/AK Native,26,356597,7.29
42,SD,South Dakota,Am Indian/AK Native,110,1162279,9.46
43,TN,Tennessee,Am Indian/AK Native,13,384852,3.38
44,TX,Texas,Am Indian/AK Native,58,3574049,1.62
45,UT,Utah,Am Indian/AK Native,55,656315,8.38
47,VA,Virginia,Am Indian/AK Native,20,613637,3.26
48,WA,Washington,Am Indian/AK Native,235,2152626,10.92
50,WI,Wisconsin,Am Indian/AK Native,79,993969,7.95
51,WY,Wyoming,Am Indian/AK Native,24,231597,10.36
1,AL,Alabama,Asian/Pac Islander,28,868875,3.22
2,AK,Alaska,Asian/Pac Islander,55,708348,7.76
3,AZ,Arizona,Asian/Pac Islander,122,2974557,4.1
4,AR,Arkansas,Asian/Pac Islander,30,621868,4.82
5,CA,California,Asian/Pac Islander,2513,81183084,3.1
6,CO,Colorado,Asian/Pac Islander,89,2432044,3.66
7,CT,Connecticut,Asian/Pac Islander,23,2110071,1.09
8,DE,Delaware,Asian/Pac Islander,10,436994,2.29
