Id,State,Year,Rate
1,Alabama,1999,17.83
2,Alaska,1999,14.08
3,Arizona,1999,16.36
4,Arkansas,1999,14.63
5,California,1999,9.12
6,Colorado,1999,10.7
7,Connecticut,1999,5.88
8,Delaware,1999,8.77
9,District of Columbia,1999,28.59
10,Florida,1999,10.92
11,Georgia,1999,13.73
12,Hawaii,1999,3.47
13,Idaho,1999,11.84
14,Illinois,1999,9.78
15,Indiana,1999,11.25
16,Iowa,1999,6.92
17,Kansas,1999,10.04
18,Kentucky,1999,13.07
19,Louisiana,1999,17.46
20,Maine,1999,8.92
21,Maryland,1999,12.5
22,Massachusetts,1999,3.09
23,Michigan,1999,10.96
24,Minnesota,1999,6.07
25,Mississippi,1999,18.21
26,Missouri,1999,12.78
27,Montana,1999,13.7
28,Nebraska,1999,8.56
29,Nevada,1999,19.38
30,New Hampshire,1999,5.81
31,New Jersey,1999,4.38
32,New Mexico,1999,16.04
33,New York,1999,5.38
34,North Carolina,1999,13.3
35,North Dakota,1999,7.61
36,Ohio,1999,8.28
37,Oklahoma,1999,14.81
38,Oregon,1999,11.46
39,Pennsylvania,1999,9.7
40,Rhode Island,1999,5.38
41,South Carolina,1999,13.89
42,South Dakota,1999,9.73
43,Tennessee,1999,15.04
44,Texas,1999,10.3
45,Utah,1999,8.71
46,Vermont,1999,9.43
47,Virginia,1999,11.76
48,Washington,1999,10.01
49,West Virginia,1999,13.8
50,Wisconsin,1999,8.4
51,Wyoming,1999,15.05
1,Alabama,2000,17.22
2,Alaska,2000,18.5
3,Arizona,2000,15.51
4,Arkansas,2000,15.56
5,California,2000,9.18
6,Colorado,2000,10.3
7,Connecticut,2000,5.26
8,Delaware,2000,6.64
9,District of Columbia,2000,26.05
10,Florida,2000,10.59
11,Georgia,2000,13.39
12,Hawaii,2000,4.29
13,Idaho,2000,9.81
14,Illinois,2000,9.1
15,Indiana,2000,10.95
16,Iowa,2000,6.49
17,Kansas,2000,11.12
18,Kentucky,2000,13.41
19,Louisiana,2000,17.68
20,Maine,2000,8.78
21,Maryland,2000,11.65
22,Massachusetts,2000,2.77
23,Michigan,2000,10.78
24,Minnesota,2000,6.34
25,Mississippi,2000,16.56
26,Missouri,2000,13.26
27,Montana,2000,14.85
28,Nebraska,2000,9.82
29,Nevada,2000,17.06
30,New Hampshire,2000,6.39
31,New Jersey,2000,4.05
32,New Mexico,2000,16
33,New York,2000,5.76
34,North Carolina,2000,13.83
35,North Dakota,2000,6.7
36,Ohio,2000,7.84
37,Oklahoma,2000,13.16
38,Oregon,2000,11.05
39,Pennsylvania,2000,10.23
40,Rhode Island,2000,5.15
41,South Carolina,2000,12.44
42,South Dakota,2000,7.42
43,Tennessee,2000,15.78
44,Texas,2000,10.4
45,Utah,2000,8.64
46,Vermont,2000,9.03
47,Virginia,2000,11.22
48,Washington,2000,8.87
49,West Virginia,2000,13.38
50,Wisconsin,2000,8.05
51,Wyoming,2000,11.75
1,Alabama,2001,16.5
2,Alaska,2001,14.99
3,Arizona,2001,15.97
4,Arkansas,2001,15.31
5,California,2001,9.28
6,Colorado,2001,11.52
7,Connecticut,2001,5.56
8,Delaware,2001,9.55
9,District of Columbia,2001,29.42
10,Florida,2001,11.1
11,Georgia,2001,13.42
12,Hawaii,2001,3.83
13,Idaho,2001,13.26
14,Illinois,2001,10.32
15,Indiana,2001,11.9
16,Iowa,2001,6.51
17,Kansas,2001,9.88
18,Kentucky,2001,12.88
19,Louisiana,2001,17.44
20,Maine,2001,7.62
21,Maryland,2001,11.29
22,Massachusetts,2001,3.03
23,Michigan,2001,10.78
24,Minnesota,2001,6.5
25,Mississippi,2001,17.6
26,Missouri,2001,13.19
27,Montana,2001,17.64
28,Nebraska,2001,8.14
29,Nevada,2001,16.44
30,New Hampshire,2001,7.25
31,New Jersey,2001,4.36
32,New Mexico,2001,14.96
33,New York,2001,5.6
34,North Carolina,2001,13.31
35,North Dakota,2001,7.35
36,Ohio,2001,9.04
37,Oklahoma,2001,14.1
38,Oregon,2001,10.32
39,Pennsylvania,2001,9.53
40,Rhode Island,2001,4.35
41,South Carolina,2001,13.87
42,South Dakota,2001,7.12
43,Tennessee,2001,14.69
44,Texas,2001,11.02
45,Utah,2001,10.03
46,Vermont,2001,8.33
47,Virginia,2001,10.71
48,Washington,2001,8.52
49,West Virginia,2001,13.93
50,Wisconsin,2001,8.79
51,Wyoming,2001,14.15
1,Alabama,2002,16.16
